"","STATE","Year","State Tax per pack in Dollars","Gross Cigarette Tax Revenue in Dollars","Cigarette Consumption (Pack Sales Per Capita) in Pack","Federal and State tax as a Percentage of Retail Price in Percentage","Federal and State Tax per pack in Dollars","Average Cost per pack in Dollars"
"1","AK",1970,0.08,2737000,121.3,38.3,0.16,0.418
"2","AK",1971,0.08,2996000,123,38,0.16,0.421
"3","AK",1972,0.08,3255000,130,38.1,0.16,0.42
"4","AK",1973,0.08,3274000,125.8,36.5,0.16,0.438
"5","AK",1974,0.08,3444000,130.4,35.6,0.16,0.449
"6","AK",1975,0.08,4056000,150.4,33.1,0.16,0.483
"7","AK",1976,0.08,4649000,164.8,31.1,0.16,0.515
"8","AK",1977,0.08,4868000,159.3,28.4,0.16,0.563
"9","AK",1978,0.08,4676000,143.6,28,0.16,0.571
"10","AK",1979,0.08,4451000,138.1,26.3,0.16,0.609
"11","AK",1980,0.08,4351000,134,25.2,0.16,0.635
"12","AK",1981,0.08,4607000,144,22,0.16,0.728
"13","AK",1982,0.08,4888000,148.3,18.6,0.16,0.86
"14","AK",1983,0.08,5148000,146.9,24.9,0.24,0.962
"15","AK",1984,0.08,5341000,133.6,23.4,0.24,1.027
"16","AK",1985,0.08,5395000,128.9,29.1,0.32,1.1
"17","AK",1986,0.16,8191000,126.3,26.3,0.32,1.215
"18","AK",1987,0.16,9503000,110.4,25.6,0.32,1.254
"19","AK",1988,0.16,8865000,80,23,0.32,1.394
"20","AK",1989,0.16,8130515,94.4,26.4,0.45,1.702
"21","AK",1990,0.16,13450527,100.2,22.3,0.45,2.017
"22","AK",1991,0.29,16377954,101.8,23.6,0.49,2.073
"23","AK",1992,0.29,15812651,98.5,22.4,0.49,2.191
"24","AK",1993,0.29,15321090,95.2,26.9,0.54,2.009
"25","AK",1994,0.29,15548000,94.1,25.2,0.53,2.014
"26","AK",1995,0.29,15752759,89.5,24.9,0.53,2.125
"27","AK",1996,0.29,15907733,89.9,24.7,0.53,2.144
"28","AK",1997,0.29,14379771,81.7,41.8,1.24,2.97
"29","AK",1998,0.29,28431309,78.6,37.9,1.24,3.276
"30","AK",1999,1,42915000,70.5,30.6,1.24,4.047
"31","AK",2000,1,43091506,66,30.5,1.34,4.397
"32","AK",2001,1,40893899,65.2,30.2,1.34,4.433
"33","AK",2002,1,40434020,63.7,30.3,1.39,4.591
"34","AK",2003,1,40239153,63.6,31.5,1.39,4.415
"35","AK",2004,1,41260582,63.6,27.6,1.39,5.03
"36","AK",2005,1.6,48750294,60.2,35.5,1.99,5.61
"37","AK",2006,1.6,57910992,54.5,37.6,2.19,5.819
"38","AK",2007,1.8,63849816,52.9,37.6,2.39,6.351
"39","AK",2008,2,64193492,47,35.7,2.39,6.69
"40","AK",2009,2,62882219,45.8,39.6,3.01,7.605
"41","AK",2010,2,61237633,43.8,39.6,3.01,7.607
"42","AK",2011,2,61478147,43.3,35.4,3.01,8.494
"43","AK",2012,2,59586835,41.2,36.3,3.01,8.3
"44","AK",2013,2,56983372,39,34.8,3.01,8.659
"45","AK",2014,2,54624390,37.2,33.8,3.01,8.901
"46","AK",2015,2,52702165,35.8,33.4,3.01,9.018
"47","AK",2016,2,52573488,35.6,33.4,3.01,9.013
"48","AK",2017,2,48857026,32.9,32.5,3.01,9.253
"49","AK",2018,2,46021896,31.1,32.1,3.01,9.37
"50","AK",2019,2,44773153,30.4,31.5,3.01,9.553
"51","AL",1970,0.12,36739131,89.8,46.8,0.2,0.427
"52","AL",1971,0.12,39490694,95.4,47.3,0.2,0.423
"53","AL",1972,0.12,42198422,101.1,47.5,0.2,0.421
"54","AL",1973,0.12,43328876,102.9,46.4,0.2,0.431
"55","AL",1974,0.12,45943402,108.2,42.9,0.2,0.466
"56","AL",1975,0.12,47956285,111.7,39.7,0.2,0.504
"57","AL",1976,0.12,50409197,116.2,39.9,0.2,0.501
"58","AL",1977,0.12,51516608,117.1,36.3,0.2,0.551
"59","AL",1978,0.12,54460929,123,35.2,0.2,0.568
"60","AL",1979,0.12,54496057,121.4,33.3,0.2,0.606
"61","AL",1980,0.12,55701205,123.2,34.9,0.24,0.688
"62","AL",1981,0.16,72852874,119.6,32.8,0.24,0.731
"63","AL",1982,0.16,74641962,119.1,38.4,0.24,0.844
"64","AL",1983,0.16,73371489,116.3,35.2,0.32,0.908
"65","AL",1984,0.16,72144256,113,32.8,0.325,0.99
"66","AL",1985,0.165,76693928,114.5,31.6,0.325,1.03
"67","AL",1986,0.165,77175083,116.3,29.6,0.325,1.1
"68","AL",1987,0.165,77097672,114,28.5,0.325,1.144
"69","AL",1988,0.165,76529290,112.1,26.6,0.325,1.223
"70","AL",1989,0.165,74959156,105.6,23.4,0.325,1.391
"71","AL",1990,0.165,74656216,108.6,22.5,0.325,1.444
"72","AL",1991,0.165,73585654,107.9,21.2,0.365,1.722
"73","AL",1992,0.165,73149118,109.1,20.7,0.365,1.762
"74","AL",1993,0.165,72619924,108.5,26.2,0.405,1.546
"75","AL",1994,0.165,72324900,107.1,26.1,0.405,1.551
"76","AL",1995,0.165,70450119,102.6,25.6,0.405,1.583
"77","AL",1996,0.165,70950600,101.4,24.2,0.405,1.674
"78","AL",1997,0.165,73953302,104.9,22.4,0.405,1.805
"79","AL",1998,0.165,74878439,106.2,20.7,0.405,1.956
"80","AL",1999,0.165,71844367,100.7,15,0.405,2.707
"81","AL",2000,0.165,70664938,96.2,17.5,0.505,2.884
"82","AL",2001,0.165,66373279,90.5,15.6,0.505,3.23
"83","AL",2002,0.165,62450667,84.8,16.9,0.555,3.282
"84","AL",2003,0.165,61161426,82.2,17.2,0.555,3.234
"85","AL",2004,0.425,71463596,87.9,22.8,0.815,3.569
"86","AL",2005,0.425,158457030,82.4,22.9,0.815,3.56
"87","AL",2006,0.425,161434908,83.3,23.1,0.815,3.535
"88","AL",2007,0.425,156820995,80.2,21.7,0.815,3.759
"89","AL",2008,0.425,153461159,78,21.7,0.815,3.752
"90","AL",2009,0.425,149746028,75.6,31.6,1.435,4.548
"91","AL",2010,0.425,143144386,71.5,30.4,1.435,4.726
"92","AL",2011,0.425,138999738,68.4,29.6,1.435,4.845
"93","AL",2012,0.425,137207735,67.2,29.6,1.435,4.841
"94","AL",2013,0.425,132215587,64.6,29,1.435,4.942
"95","AL",2014,0.425,126853195,61.7,28.1,1.435,5.102
"96","AL",2015,0.425,125105125,60.7,31.8,1.685,5.305
"97","AL",2016,0.675,163948123,60.1,31.1,1.685,5.41
"98","AL",2017,0.675,180386973,58.1,30.9,1.685,5.452
"99","AL",2018,0.675,172649066,54.7,30.4,1.685,5.55
"100","AL",2019,0.675,165763113,53.1,29.1,1.685,5.784
"101","AR",1970,0.1225,24493875,100.3,53.5,0.2075,0.388
"102","AR",1971,0.1775,27438688,104.1,58.4,0.2575,0.441
"103","AR",1972,0.1775,35848433,103.9,57.1,0.2575,0.451
"104","AR",1973,0.1775,37917550,108,56.6,0.2575,0.455
"105","AR",1974,0.1775,39654387,109.7,53,0.2575,0.486
"106","AR",1975,0.1775,42027562,114.8,50.6,0.2575,0.509
"107","AR",1976,0.1775,44721125,119.1,49,0.2575,0.526
"108","AR",1977,0.1775,45878425,122.6,45.6,0.2575,0.565
"109","AR",1978,0.1775,48463712,127.3,44.1,0.2575,0.584
"110","AR",1979,0.1775,49072538,126.5,41.9,0.2575,0.615
"111","AR",1980,0.1775,50988650,131.8,39.8,0.2575,0.647
"112","AR",1981,0.1775,52216063,128.7,35.7,0.2575,0.721
"113","AR",1982,0.1775,51931175,127.4,31.4,0.2575,0.82
"114","AR",1983,0.21,54616725,128,39.5,0.37,0.936
"115","AR",1984,0.21,60611138,123.1,37.6,0.37,0.985
"116","AR",1985,0.21,62733844,125.8,35.7,0.37,1.036
"117","AR",1986,0.21,62155739,126,32.7,0.37,1.13
"118","AR",1987,0.21,61658584,122.3,30.8,0.37,1.199
"119","AR",1988,0.21,61767668,121.5,29,0.37,1.277
"120","AR",1989,0.21,60710757,118.3,26.2,0.37,1.412
"121","AR",1990,0.21,57859721,113.1,25.3,0.37,1.465
"122","AR",1991,0.21,57851063,116.8,23.7,0.42,1.773
"123","AR",1992,0.21,65362674,126,23.3,0.42,1.799
"124","AR",1993,0.22,72196949,113.8,33,0.555,1.681
"125","AR",1994,0.345,81346688,108.8,33.2,0.555,1.673
"126","AR",1995,0.315,86742788,113,33.2,0.555,1.671
"127","AR",1996,0.315,85978675,110.7,30.6,0.555,1.813
"128","AR",1997,0.315,85952917,108.7,29.6,0.555,1.873
"129","AR",1998,0.315,86593871,109.5,26.8,0.555,2.069
"130","AR",1999,0.315,83303347,104.8,19.9,0.555,2.793
"131","AR",2000,0.315,82409447,99.4,22.2,0.655,2.944
"132","AR",2001,0.315,85619768,101.7,19.8,0.655,3.3
"133","AR",2002,0.34,79846771,87.2,20.7,0.73,3.522
"134","AR",2003,0.59,86736560,91.6,27.3,0.98,3.596
"135","AR",2004,0.59,131000087,79.8,27.7,0.98,3.535
"136","AR",2005,0.59,129860482,82.1,27.8,0.98,3.53
"137","AR",2006,0.59,133418145,81.4,26.4,0.98,3.714
"138","AR",2007,0.59,127394493,78.4,25.6,0.98,3.822
"139","AR",2008,0.59,128864614,77,24.9,0.98,3.93
"140","AR",2009,1.15,148826375,72.6,40.8,2.16,5.288
"141","AR",2010,1.15,206311982,63.2,39.6,2.16,5.454
"142","AR",2011,1.15,200418005,61.1,38.9,2.16,5.551
"143","AR",2012,1.15,199654545,60.5,39.4,2.16,5.485
"144","AR",2013,1.15,190245330,57.5,39.1,2.16,5.521
"145","AR",2014,1.15,179735100,54.4,39.2,2.16,5.508
"146","AR",2015,1.15,177322717,54,38.2,2.16,5.655
"147","AR",2016,1.15,179027016,54.2,37.6,2.16,5.744
"148","AR",2017,1.15,173931263,52.4,36.3,2.16,5.958
"149","AR",2018,1.15,167579954,50.2,35.7,2.16,6.055
"150","AR",2019,1.15,161909335,47.6,34.5,2.16,6.259
"151","AZ",1970,0.1,19510371,115.2,46.7,0.18,0.385
"152","AZ",1971,0.1,19640088,109.6,47.4,0.18,0.38
"153","AZ",1972,0.1,23116211,125,46.5,0.18,0.387
"154","AZ",1973,0.1,24963408,128.3,45.9,0.18,0.392
"155","AZ",1974,0.1,27387025,133.1,44,0.21,0.477
"156","AZ",1975,0.13,34513342,121.8,42.8,0.21,0.491
"157","AZ",1976,0.13,35349459,122.3,43.1,0.21,0.487
"158","AZ",1977,0.13,35910542,121.7,39.2,0.21,0.536
"159","AZ",1978,0.13,37232113,124.7,35.8,0.21,0.586
"160","AZ",1979,0.13,38135772,124.6,34.5,0.21,0.608
"161","AZ",1980,0.13,40387868,126.8,33.2,0.21,0.633
"162","AZ",1981,0.13,40210749,113.8,28.6,0.21,0.733
"163","AZ",1982,0.13,41240299,113.5,26.1,0.21,0.805
"164","AZ",1983,0.13,41322538,111.1,31.3,0.29,0.928
"165","AZ",1984,0.13,42047774,107.1,31.4,0.31,0.988
"166","AZ",1985,0.15,49914889,107.1,29.1,0.31,1.067
"167","AZ",1986,0.15,51271543,107.9,27.3,0.31,1.135
"168","AZ",1987,0.15,51756221,106.1,27.2,0.31,1.135
"169","AZ",1988,0.15,52761017,102.2,24.3,0.31,1.256
"170","AZ",1989,0.15,50497361,96.8,23.8,0.31,1.302
"171","AZ",1990,0.15,47367639,88.9,22.5,0.34,1.514
"172","AZ",1991,0.15,52400987,81.2,22.9,0.38,1.657
"173","AZ",1992,0.18,53152206,79,20.7,0.38,1.836
"174","AZ",1993,0.18,54098346,80.3,25.9,0.42,1.621
"175","AZ",1994,0.18,54392580,79,25.8,0.42,1.629
"176","AZ",1995,0.18,109614212,77.3,39.4,0.82,2.079
"177","AZ",1996,0.58,171622649,71.4,36.9,0.82,2.22
"178","AZ",1997,0.58,166315143,64.6,35.5,0.82,2.31
"179","AZ",1998,0.58,169626199,66,32.8,0.82,2.501
"180","AZ",1999,0.58,166481637,61.7,25.8,0.82,3.177
"181","AZ",2000,0.58,162795250,58.5,26.6,0.92,3.458
"182","AZ",2001,0.58,160870757,54.1,25.5,0.92,3.606
"183","AZ",2002,0.58,160155700,52,40.8,1.57,3.85
"184","AZ",2003,1.18,216941668,48.2,38.9,1.57,4.031
"185","AZ",2004,1.18,280173860,42.5,39.6,1.57,3.967
"186","AZ",2005,1.18,286386310,42.3,37.8,1.57,4.156
"187","AZ",2006,1.18,296078470,42.2,36.1,1.57,4.35
"188","AZ",2007,2,354887901,37.5,45.9,2.39,5.202
"189","AZ",2008,2,397172122,31.8,43.7,2.39,5.466
"190","AZ",2009,2,371476941,28.6,48,3.01,6.274
"191","AZ",2010,2,327381714,24.8,46.6,3.01,6.459
"192","AZ",2011,2,328721247,27.1,46.4,3.01,6.492
"193","AZ",2012,2,322217444,25,45.6,3.01,6.6
"194","AZ",2013,2,316111769,24.4,45.5,3.01,6.622
"195","AZ",2014,2,304872144,23,44.6,3.01,6.752
"196","AZ",2015,2,310164906,23,43.5,3.01,6.916
"197","AZ",2016,2,318976882,23.1,43.5,3.01,6.923
"198","AZ",2017,2,316089295,22.5,42.4,3.01,7.104
"199","AZ",2018,2,306302317,21.8,40.9,3.01,7.362
"200","AZ",2019,2,296712275,20.7,40.1,3.01,7.513
"201","CA",1970,0.1,239111000,123,45.3,0.18,0.397
"202","CA",1971,0.1,241878000,121,45.1,0.18,0.399
"203","CA",1972,0.1,249849000,123.5,45.1,0.18,0.399
"204","CA",1973,0.1,254630000,124.4,43,0.18,0.419
"205","CA",1974,0.1,261029000,126.7,40,0.18,0.45
"206","CA",1975,0.1,265698000,127.1,37.3,0.18,0.483
"207","CA",1976,0.1,271234000,128,36.7,0.18,0.49
"208","CA",1977,0.1,272021000,126.4,30.7,0.18,0.587
"209","CA",1978,0.1,276202000,126.1,30,0.18,0.601
"210","CA",1979,0.1,271823000,121.9,29,0.18,0.621
"211","CA",1980,0.1,272774000,120.2,27.1,0.18,0.664
"212","CA",1981,0.1,280626000,118.6,24.7,0.18,0.728
"213","CA",1982,0.1,279205000,115.4,21.2,0.18,0.849
"214","CA",1983,0.1,273943000,110.8,27.4,0.26,0.949
"215","CA",1984,0.1,265535000,104.8,26.5,0.26,0.98
"216","CA",1985,0.1,265403000,102.8,24.9,0.26,1.044
"217","CA",1986,0.1,261213000,99.7,25,0.26,1.039
"218","CA",1987,0.1,256877000,97.5,22.2,0.26,1.174
"219","CA",1988,0.1,251614000,90.1,20.6,0.26,1.264
"220","CA",1989,0.35,503985000,82.4,31.1,0.51,1.638
"221","CA",1990,0.35,777806372,77.8,27.3,0.51,1.868
"222","CA",1991,0.35,729532100,68.7,27.2,0.55,2.019
"223","CA",1992,0.35,717361867,67.5,26.8,0.55,2.051
"224","CA",1993,0.35,673194758,63.4,31,0.59,1.903
"225","CA",1994,0.37,653545894,58.6,31.3,0.61,1.951
"226","CA",1995,0.37,662551030,56.4,30.8,0.61,1.979
"227","CA",1996,0.37,644499085,54.5,30.5,0.61,2.003
"228","CA",1997,0.37,634972518,53.8,29.4,0.61,2.078
"229","CA",1998,0.37,617309414,52.3,27.1,0.61,2.249
"230","CA",1999,0.87,849117471,47.2,31.6,1.11,3.512
"231","CA",2000,0.87,1176859405,41.6,33.1,1.21,3.655
"232","CA",2001,0.87,1120194150,38,30.4,1.21,3.977
"233","CA",2002,0.87,1074322864,35.8,30.9,1.26,4.081
"234","CA",2003,0.87,1040616216,34.7,31.9,1.26,3.947
"235","CA",2004,0.87,1030056989,33.1,32.8,1.26,3.841
"236","CA",2005,0.87,1032870955,33.1,31.9,1.26,3.953
"237","CA",2006,0.87,1035290841,32.9,31.9,1.26,3.95
"238","CA",2007,0.87,1007354061,31.8,30,1.26,4.197
"239","CA",2008,0.87,963072445,30.3,29.4,1.26,4.292
"240","CA",2009,0.87,920204311,28.8,37,1.88,5.087
"241","CA",2010,0.87,845928927,26.3,35,1.88,5.374
"242","CA",2011,0.87,843072021,26,34.8,1.88,5.395
"243","CA",2012,0.87,827497368,25.2,34.8,1.88,5.4
"244","CA",2013,0.87,788753850,23.9,34.1,1.88,5.51
"245","CA",2014,0.87,757512960,22.7,34.3,1.88,5.475
"246","CA",2015,0.87,754358820,22.3,33.5,1.88,5.607
"247","CA",2016,0.87,748095546,22,33.5,1.88,5.607
"248","CA",2017,2.87,956712690,20.5,50.7,3.88,7.659
"249","CA",2018,2.87,1887613448,16.6,49.4,3.88,7.862
"250","CA",2019,2.87,1791254942,15.8,47.7,3.88,8.141
"251","CO",1970,0.05,13101000,124.8,41.8,0.13,0.311
"252","CO",1971,0.05,13967000,125.5,41.7,0.13,0.312
"253","CO",1972,0.05,15328000,134.3,39.8,0.13,0.327
"254","CO",1973,0.05,16255000,137.9,47.2,0.18,0.381
"255","CO",1974,0.1,32364000,132.8,43.2,0.18,0.417
"256","CO",1975,0.1,32710000,131,40.2,0.18,0.448
"257","CO",1976,0.1,33914000,134.2,40.3,0.18,0.447
"258","CO",1977,0.1,34098000,132,40.1,0.23,0.574
"259","CO",1978,0.15,50757000,129.2,34.1,0.18,0.528
"260","CO",1979,0.1,35108000,131.5,33,0.18,0.546
"261","CO",1980,0.1,36311000,131,31,0.18,0.581
"262","CO",1981,0.1,38656000,133.8,29.3,0.18,0.614
"263","CO",1982,0.1,38705000,130.5,24.6,0.18,0.733
"264","CO",1983,0.1,38157000,125.3,37.2,0.31,0.834
"265","CO",1984,0.15,49528000,119.7,33.3,0.31,0.931
"266","CO",1985,0.15,54369000,112.4,32.6,0.31,0.951
"267","CO",1986,0.15,53052000,109.9,33.2,0.36,1.086
"268","CO",1987,0.2,66972910,102.4,31,0.36,1.16
"269","CO",1988,0.2,63320608,94.6,27.5,0.36,1.308
"270","CO",1989,0.2,59822164,88.8,24.1,0.36,1.493
"271","CO",1990,0.2,58895309,87.4,24.7,0.36,1.457
"272","CO",1991,0.2,59892549,90.2,25.4,0.4,1.575
"273","CO",1992,0.2,58654419,88.3,23.8,0.4,1.682
"274","CO",1993,0.2,58864837,88.6,28.7,0.44,1.532
"275","CO",1994,0.2,60025673,89.1,26.8,0.44,1.642
"276","CO",1995,0.2,61736338,85.4,25.9,0.44,1.696
"277","CO",1996,0.2,61731047,83.1,25.2,0.44,1.744
"278","CO",1997,0.2,62140937,81.3,23.7,0.44,1.858
"279","CO",1998,0.2,62048112,81.2,21.5,0.44,2.042
"280","CO",1999,0.2,61882583,79.6,15.6,0.44,2.813
"281","CO",2000,0.2,60818207,73,18.4,0.54,2.933
"282","CO",2001,0.2,60567252,70.4,17.6,0.54,3.061
"283","CO",2002,0.2,58518066,66.2,18.1,0.59,3.264
"284","CO",2003,0.2,56330686,63.8,18.4,0.59,3.214
"285","CO",2004,0.2,55255011,60.7,17.2,0.59,3.429
"286","CO",2005,0.84,116600483,57.9,30.5,1.23,4.036
"287","CO",2006,0.84,208072655,53.1,30.6,1.23,4.025
"288","CO",2007,0.84,204048087,51.1,29.2,1.23,4.213
"289","CO",2008,0.84,197765465,48.4,29.3,1.23,4.203
"290","CO",2009,0.84,191018492,46,36.4,1.85,5.078
"291","CO",2010,0.84,176557976,41.4,36.3,1.85,5.097
"292","CO",2011,0.84,171531588,40.6,35.5,1.85,5.216
"293","CO",2012,0.84,174467790,40.6,34.9,1.85,5.299
"294","CO",2013,0.84,167059169,38.3,34.2,1.85,5.415
"295","CO",2014,0.84,162218960,36.7,34.1,1.85,5.431
"296","CO",2015,0.84,163117891,36.3,34,1.85,5.443
"297","CO",2016,0.84,163999393,35.8,33.7,1.85,5.49
"298","CO",2017,0.84,160413997,34.5,32.5,1.85,5.696
"299","CO",2018,0.84,151345229,32.1,31.5,1.85,5.873
"300","CO",2019,0.84,145551255,30.4,30.5,1.85,6.06
"301","CT",1970,0.16,57913000,120,52.7,0.24,0.455
"302","CT",1971,0.16,57202000,117.6,56.5,0.29,0.513
"303","CT",1972,0.21,69983000,110.8,57.3,0.29,0.506
"304","CT",1973,0.21,70720000,109.3,55.2,0.29,0.525
"305","CT",1974,0.21,72582000,112.4,53.2,0.29,0.545
"306","CT",1975,0.21,71458000,110.2,50.4,0.29,0.576
"307","CT",1976,0.21,73701000,113.4,49.7,0.29,0.584
"308","CT",1977,0.21,76803000,117.3,47,0.29,0.617
"309","CT",1978,0.21,76700000,117.5,45,0.29,0.644
"310","CT",1979,0.21,76544000,117.4,43.3,0.29,0.67
"311","CT",1980,0.21,77161000,118,36.2,0.29,0.801
"312","CT",1981,0.21,75961000,116.4,33.9,0.29,0.856
"313","CT",1982,0.21,75483000,114.7,30.3,0.29,0.956
"314","CT",1983,0.21,75564000,114.1,37,0.42,1.135
"315","CT",1984,0.26,90454000,112.5,35.4,0.42,1.186
"316","CT",1985,0.26,90922000,111,35.4,0.42,1.185
"317","CT",1986,0.26,89483000,108.5,34.2,0.42,1.227
"318","CT",1987,0.26,90031000,109,32.3,0.42,1.297
"319","CT",1988,0.26,88352000,104.8,29.6,0.42,1.42
"320","CT",1989,0.4,97623000,100.6,31.4,0.56,1.712
"321","CT",1990,0.4,119516086,91.5,33,0.56,1.695
"322","CT",1991,0.4,114506710,86.7,33.6,0.65,1.935
"323","CT",1992,0.4,120786957,83.6,32.1,0.65,2.023
"324","CT",1993,0.45,117494262,79.1,34.5,0.71,2.056
"325","CT",1994,0.45,119272088,76.6,36,0.74,2.054
"326","CT",1995,0.47,129752865,79.3,35.9,0.74,2.063
"327","CT",1996,0.5,124388937,76,35.5,0.74,2.085
"328","CT",1997,0.5,123589875,75.9,34,0.74,2.179
"329","CT",1998,0.5,123618156,75.5,31.3,0.74,2.365
"330","CT",1999,0.5,120025312,73.4,23.7,0.74,3.123
"331","CT",2000,0.5,117215187,71.4,26.3,0.84,3.192
"332","CT",2001,0.5,117001000,68.7,23.7,0.84,3.545
"333","CT",2002,1.11,151324307,66.4,34.7,1.5,4.318
"334","CT",2003,1.51,251978914,59.7,40.6,1.9,4.684
"335","CT",2004,1.51,279555397,53.1,40.4,1.9,4.708
"336","CT",2005,1.51,270187452,49.9,40.1,1.9,4.733
"337","CT",2006,1.51,269670000,50.9,40.7,1.9,4.67
"338","CT",2007,1.51,264019838,50.5,44.6,2.39,5.358
"339","CT",2008,2,331970817,47.4,51.8,2.89,5.584
"340","CT",2009,2,321568623,45.9,53.7,4.01,7.474
"341","CT",2010,3,382087683,40.8,53.1,4.01,7.548
"342","CT",2011,3,389770000,36.3,55.1,4.41,8.005
"343","CT",2012,3.4,410490194,33.5,52.9,4.41,8.329
"344","CT",2013,3.4,382919319,31.4,53.7,4.41,8.214
"345","CT",2014,3.4,367577400,30.1,53.7,4.41,8.211
"346","CT",2015,3.4,350286669,28.6,54.2,4.66,8.6
"347","CT",2016,3.65,364451380,28.3,55.2,4.91,8.892
"348","CT",2017,3.9,369918221,26.5,53.1,4.91,9.254
"349","CT",2018,4.35,355589691,23.8,55,5.36,9.753
"350","CT",2019,4.35,343079595,21.9,53.4,5.36,10.043
"351","DC",1970,0.04,5801000,200.4,36.8,0.12,0.326
"352","DC",1971,0.04,6416000,213,35.6,0.12,0.337
"353","DC",1972,0.04,6532000,220.6,34.8,0.12,0.345
"354","DC",1973,0.06,8022000,209.4,38.9,0.14,0.36
"355","DC",1974,0.06,8165000,182.7,35.5,0.14,0.394
"356","DC",1975,0.06,7640000,176.5,29.3,0.14,0.478
"357","DC",1976,0.1,10137000,167.7,40.5,0.21,0.519
"358","DC",1977,0.13,12669000,136.7,35.1,0.21,0.598
"359","DC",1978,0.13,11640000,130.3,35.4,0.21,0.593
"360","DC",1979,0.13,11201000,128.5,32,0.21,0.656
"361","DC",1980,0.13,11007000,129.7,30.4,0.21,0.69
"362","DC",1981,0.13,10873000,131.9,28.1,0.21,0.748
"363","DC",1982,0.13,10782000,132,24.3,0.21,0.863
"364","DC",1983,0.13,10260000,124.5,29.4,0.29,0.985
"365","DC",1984,0.13,9987000,124.6,28.9,0.29,1.004
"366","DC",1985,0.13,9874000,122.1,26.5,0.29,1.093
"367","DC",1986,0.13,9500000,117.2,25.8,0.29,1.125
"368","DC",1987,0.17,9595000,113,27.7,0.33,1.19
"369","DC",1988,0.17,10930000,105.4,24.3,0.33,1.359
"370","DC",1989,0.17,10717000,101.1,22.6,0.33,1.457
"371","DC",1990,0.17,8916000,84.1,23,0.33,1.433
"372","DC",1991,0.17,8439000,82.2,26.7,0.5,1.874
"373","DC",1992,0.17,14272000,82.6,33,0.7,2.121
"374","DC",1993,0.5,20611000,68,41.8,0.89,2.131
"375","DC",1994,0.5,21412000,54.1,40.1,0.89,2.219
"376","DC",1995,0.65,21623000,57.9,38.2,0.89,2.332
"377","DC",1996,0.65,20596000,56,38.6,0.89,2.304
"378","DC",1997,0.65,19199000,54.3,37.6,0.89,2.365
"379","DC",1998,0.65,17952000,50.9,35.1,0.89,2.533
"380","DC",1999,0.65,17420000,50.8,27.5,0.89,3.24
"381","DC",2000,0.65,17050000,50.2,27.9,0.99,3.554
"382","DC",2001,0.65,16329000,43.9,26.7,0.99,3.714
"383","DC",2002,0.65,16465000,44.4,27.3,1.04,3.811
"384","DC",2003,1,20488000,45.6,33.9,1.39,4.104
"385","DC",2004,1,21633000,38.4,33.1,1.39,4.197
"386","DC",2005,1,20674000,37.3,32.7,1.39,4.256
"387","DC",2006,1,23219000,42.2,32.8,1.39,4.235
"388","DC",2007,1,22167000,38.1,32.3,1.39,4.3
"389","DC",2008,1,22865000,38.1,46.9,2.39,5.096
"390","DC",2009,2,33245000,33.4,52.5,3.51,6.688
"391","DC",2010,2.5,32258549,23.1,49.2,3.51,7.13
"392","DC",2011,2.5,36360219,24.2,54.4,3.87,7.113
"393","DC",2012,2.86,34148060,20,52.5,3.87,7.366
"394","DC",2013,2.86,34304210,18.6,52.4,3.87,7.39
"395","DC",2014,2.86,30467365,16.2,52.9,3.87,7.312
"396","DC",2015,2.9,30616929,15.8,52.1,3.91,7.509
"397","DC",2016,2.91,29405456,14.8,51,3.93,7.704
"398","DC",2017,2.92,26237239,13.2,49.8,3.95,7.936
"399","DC",2018,2.94,26287476,12.9,60.3,5.95,9.863
"400","DC",2019,4.94,27419844,9.1,57.1,5.95,10.418
"401","DE",1970,0.11,9328000,155,46,0.19,0.413
"402","DE",1971,0.11,9805000,161.1,49.2,0.22,0.447
"403","DE",1972,0.14,11983000,156.3,50,0.22,0.44
"404","DE",1973,0.14,12236000,154.7,49.8,0.22,0.442
"405","DE",1974,0.14,12206000,151.3,47.9,0.22,0.459
"406","DE",1975,0.14,11847000,147.6,43.9,0.22,0.501
"407","DE",1976,0.14,12409000,153,42.6,0.22,0.517
"408","DE",1977,0.14,12493000,153.3,37.5,0.22,0.587
"409","DE",1978,0.14,12672000,155.5,36.7,0.22,0.6
"410","DE",1979,0.14,12260000,150.2,35.1,0.22,0.627
"411","DE",1980,0.14,12261000,150.5,33.3,0.22,0.66
"412","DE",1981,0.14,12714000,152.6,29.7,0.22,0.741
"413","DE",1982,0.14,12904000,154.1,26.8,0.22,0.82
"414","DE",1983,0.14,12605000,149.6,32.9,0.3,0.911
"415","DE",1984,0.14,12278000,144,30.4,0.3,0.987
"416","DE",1985,0.14,12518000,144.5,28.5,0.3,1.052
"417","DE",1986,0.14,12569000,142.4,26.9,0.3,1.114
"418","DE",1987,0.14,12441583,141,25.2,0.3,1.193
"419","DE",1988,0.14,12472294,137.1,24.2,0.3,1.24
"420","DE",1989,0.14,12115228,131.7,21.4,0.3,1.4
"421","DE",1990,0.14,11701261,127.2,24.4,0.35,1.432
"422","DE",1991,0.14,17463430,118.8,25.1,0.44,1.747
"423","DE",1992,0.24,19489890,120,23.4,0.44,1.879
"424","DE",1993,0.24,20003796,123.8,31.5,0.48,1.525
"425","DE",1994,0.24,20705148,126.1,29.9,0.48,1.607
